laboratory_id,participant_id,creature,phase,nLayers,nFeatures,nDraws,nDrawsCreated,flexibility,elaboration_total,elaboration_avg_per_layer,crops,area,overlap,drawing_time,nColors_final,nColors_changed,undos,redos,nDeleted,creature_name,description_time,description,Neyes,Nhears,Nmouths,Nnoses,Nlegs,Narms,Nhorns,Ntails,symmetry,self-creativity,self-unusualness
L-001,P-008,1,draw,9,7,1,2,6,33,3.6666666666666665,0,0.2564716049382716,0.022117283950617284,194.35,7,7,2,0,0,Rayux,176.51,"Parece a simple vista un monstruo muy peligroso y gruñón, pero no quiere hacer daño... Así que, procura no tocarle o te electrocutarás.",2,0,0,0,2,2,0,0,2,8,10
L-001,P-008,1,edit,21,9,11,11,7,5,0.23809523809523808,0,0.2694641975308642,0.02541358024691358,72.48,9,1,0,0,1,Rayux,44.74,"Parece a simple vista un monstruo muy peligroso y gruñón, pero no quiere hacer daño... Así que, procura no tocarle o te electrocutarás. En cuanto entra a la sala sube la temperatura hasta ser insoportable.",2,0,1,0,2,2,0,0,2,8,10
L-001,P-008,2,draw,8,6,1,3,6,80,10,0,0.201979012345679,0.031020987654320986,256.47,7,6,18,0,3,Maruñosa,170.74,"Lo primero que vas a querer hacer es abrazarla, pero tras un tiempo, solo querrás desprenderte de sus brazos...Hay un problema, y es que no te dejará.",1,0,1,0,2,2,0,0,3,3,9
L-001,P-008,2,edit,14,12,1,1,7,29,2.0714285714285716,0,0.2517938271604938,0.04095432098765432,66.12,9,2,0,0,1,Maruñosa,33.7,"Lo primero que vas a querer hacer es abrazarla, pero tras un tiempo, solo querrás desprenderte de sus brazos...Hay un problema, y es que no te dejará. Será imposible escapar de sus 6 brazos ¿Tendrá alguno más?",1,2,1,0,2,6,0,0,2,7,9
L-001,P-008,3,draw,12,8,1,1,7,35,2.9166666666666665,0,0.25980740740740743,0.02394320987654321,175.19,9,8,0,0,0,Slimy,103.96,"No siempre fue así, al principio era una esfera, pero al sufrir un accidente fue brutalmente aplastada. Menos mal que tiene buen humor.",2,0,1,1,2,2,0,0,1,5,8
L-001,P-008,3,edit,33,8,20,20,9,7,0.21212121212121213,0,0.2797296296296296,0.032361728395061726,92.9,13,2,2,0,2,Slimy,31.65,"No siempre fue así, al principio era una esfera, pero al sufrir un accidente fue brutalmente aplastada. Menos mal que tiene buen humor. Es muy inquieto y siempre está jugando, se ve que no aprende de los errores.",2,0,1,1,2,2,0,0,1,6,8
L-001,P-008,4,draw,14,5,3,3,7,40,2.857142857142857,0,0.153279012345679,0.025424691358024692,149.71,6,5,0,0,0,Triesfera,114.44,"Una caja llamativa que desprende un sonido llamativo. En el mismo momento en el que la tocas, salen tres cabezas muy distintas entre ellas.",3,0,3,0,0,0,0,0,2,7,7
