laboratory_id,participant_id,creature,phase,nLayers,nFeatures,nDraws,nDrawsCreated,flexibility,elaboration_total,elaboration_avg_per_layer,crops,area,overlap,drawing_time,nColors_final,nColors_changed,undos,redos,nDeleted,creature_name,description_time,description,Neyes,Nhears,Nmouths,Nnoses,Nlegs,Narms,Nhorns,Ntails,symmetry,self-creativity,self-unusualness
L-001,P-012,1,draw,23,12,10,10,6,75,3.260869565217391,2,0.10718518518518519,0.005896296296296296,294.76,24,23,0,0,0,Pi,171.04,"Pi es una criatura infinita. Su característica principal es su capacidad de memoria infinita. En sus infinitos brazos que tiene, cuenta con los infinitos números decimales de pi. Además, en su corazón se puede observar el símbolo del infinito, donde guarda toda la información que observa, lee, escucha, le dicen. Es única en su especie y la criatura más inteligente de toda la galaxia.",2,0,1,0,2,8,0,0,2,7,7
L-001,P-012,1,edit,25,12,12,12,6,15,0.6,0,0.13785185185185186,0.005896296296296296,113.27,26,2,0,0,1,Pi,55.9,"Pi es una criatura infinita. Su característica principal es su capacidad de memoria infinita. En sus infinitos brazos que tiene, cuenta con los infinitos números decimales de pi. Además, en su corazón se puede observar el símbolo del infinito, donde guarda toda la información que observa, lee, escucha, le dicen, imagina... Es única en su especie y la criatura más inteligente de toda la galaxia.",2,0,1,0,2,8,0,0,2,7,7
L-001,P-012,2,draw,61,3,51,54,8,62,1.0163934426229508,1,0.1989469135802469,0.011488888888888889,299.08,11,10,15,0,4,Transporter,178.92,"Transporter es la criatura más querida en su galaxia, debido a su principal función, que es transportar a cualquier persona al lugar que desee. Las personas se montan en Transporter y solo con imaginar el lugar a donde quieren ir, Transporter los lleva en cuestión de segundos. Es muy fiable, ecológico y libre de emisiones de gases. Con su único ojo puede ver cualquier lugar que sus pasajeros imaginen.",1,0,0,0,2,0,1,1,2,3,7
L-001,P-012,2,edit,89,3,78,80,8,16,0.1797752808988764,0,0.23185679012345678,0.021901234567901235,118.42,11,0,1,0,1,Transporter,59.99,"Transporter es la criatura más querida en su galaxia, debido a su principal función, que es transportar a cualquier persona al lugar que desee. Las personas se montan en Transporter y solo con imaginar el lugar a donde quieren ir, Transporter los lleva en cuestión de segundos. Es muy fiable, ecológico y libre de emisiones de gases. Con su único ojo puede ver cualquier lugar que sus pasajeros imaginen. Cuenta con dos patas gigantes por donde los pasajeros pueden subir volando.",1,0,0,0,2,0,1,1,2,3,7
L-001,P-012,3,draw,41,1,0,3,2,58,1.4146341463414633,0,0.20882592592592591,0.07894938271604938,299.55,4,4,3,0,47,Lovamor,175.68,"Lovamor es el amor hecho criatura. Con solo sentir su presencia cambia el ambiente tenso y agitado por uno lleno de amor y paz. Este superpoder lo hace único y muy querido por todos los que le conocen. Puede cambiar cualquier cosa, tanto el estado de ánimo, como el tiempo, haciendo que un día lluvioso se convierta en un día soleado y lleno de amor para todos.",1,0,0,0,0,0,0,0,2,5,6
L-001,P-012,3,edit,77,1,29,29,3,1,0.012987012987012988,0,0.25207654320987655,0.09761604938271605,105.69,7,0,0,0,0,Lovamor,41.53,"Lovamor es el amor hecho criatura. Con solo sentir su presencia cambia el ambiente tenso y agitado por uno lleno de amor y paz. Este superpoder lo hace único y muy querido por todos los que le conocen. Puede cambiar cualquier cosa, tanto el estado de ánimo, como el tiempo, haciendo que un día lluvioso se convierta en un día soleado y lleno de amor para todos.",1,0,0,0,0,0,0,0,2,5,6
L-001,P-012,4,draw,38,6,31,32,6,38,1,1,0.05570370370370371,0.019755555555555554,298.8,14,10,1,0,0,Rash,171.31,"Rash es una criatura con las mismas características y funciones que los seres de humanos. No tiene nada de sobrenatural, es decir, tiene una memoria a corto plazo limitada, tiene tareas que realizar, tiene problemas, tiene que comer, comprar, pagar el alquiler...La expulsaron de su galaxia por ser una réplica mal hecha de un humano. No tiene nada que algún humano no tenga.",2,0,1,0,2,2,0,0,2,2,1
